 #        Time[fs] E-potential           E-kinetic     E-Total    E-Total-Avg
          41.12   -0.7633416183E+02    0.5059064141E-02   -0.7632910277E+02   -0.7631806750E+02
          41.60   -0.7633606833E+02    0.1422346823E-01   -0.7632184486E+02   -0.7631811142E+02
          42.09   -0.7633714625E+02    0.3136860764E-01   -0.7630577765E+02   -0.7631796965E+02
          42.57   -0.7633410688E+02    0.3436969192E-01   -0.7629973719E+02   -0.7631776247E+02
          43.06   -0.7632912581E+02    0.2038122402E-01   -0.7630874459E+02   -0.7631766114E+02
          43.54   -0.7632647551E+02    0.2554625233E-01   -0.7630092926E+02   -0.7631747523E+02
          44.02   -0.7632544798E+02    0.2839455335E-01   -0.7629705343E+02   -0.7631725082E+02
          44.51   -0.7632532638E+02    0.1629018850E-01   -0.7630903619E+02   -0.7631716153E+02
          44.99   -0.7632707213E+02    0.1039511541E-01   -0.7631667702E+02   -0.7631715632E+02
          45.48   -0.7633011621E+02    0.1688381301E-01   -0.7631323239E+02   -0.7631711457E+02
          45.96   -0.7633340291E+02    0.2335044981E-01   -0.7631005246E+02   -0.7631704024E+02
          46.44   -0.7633578229E+02    0.2057399102E-01   -0.7631520830E+02   -0.7631702115E+02
          46.93   -0.7633630756E+02    0.1535080051E-01   -0.7632095676E+02   -0.7631706173E+02
          47.41   -0.7633506987E+02    0.1197168162E-01   -0.7632309819E+02   -0.7631712332E+02
          47.89   -0.7633313353E+02    0.1120273164E-01   -0.7632193080E+02   -0.7631717188E+02
          48.38   -0.7633160998E+02    0.1324139098E-01   -0.7631836859E+02   -0.7631718385E+02
          48.86   -0.7633092439E+02    0.1519112502E-01   -0.7631573326E+02   -0.7631716949E+02
          49.35   -0.7633116861E+02    0.1516581002E-01   -0.7631600280E+02   -0.7631715805E+02
          49.83   -0.7633225080E+02    0.1481956174E-01   -0.7631743124E+02   -0.7631716070E+02
          50.31   -0.7633375279E+02    0.1612444403E-01   -0.7631762835E+02   -0.7631716520E+02
          50.80   -0.7633513521E+02    0.1853082708E-01   -0.7631660438E+02   -0.7631715986E+02
          51.28   -0.7633589260E+02    0.1924253091E-01   -0.7631665007E+02   -0.7631715505E+02
          51.76   -0.7633611593E+02    0.1639288811E-01   -0.7631972304E+02   -0.7631717905E+02
          52.25   -0.7633616672E+02    0.1392217907E-01   -0.7632224454E+02   -0.7631722595E+02
          52.73   -0.7633625520E+02    0.1234702045E-01   -0.7632390818E+02   -0.7631728726E+02
          53.22   -0.7633646673E+02    0.1515888661E-01   -0.7632130785E+02   -0.7631732381E+02
          53.70   -0.7633570650E+02    0.2294204713E-01   -0.7631276446E+02   -0.7631728273E+02
          54.18   -0.7633263830E+02    0.1209059031E-01   -0.7632054771E+02   -0.7631731188E+02
          54.67   -0.7633007895E+02    0.5773059472E-02   -0.7632430589E+02   -0.7631737378E+02
          55.15   -0.7632922334E+02    0.4723339718E-02   -0.7632450000E+02   -0.7631743629E+02
          55.63   -0.7632989191E+02    0.5935346901E-02   -0.7632395657E+02   -0.7631749299E+02
          56.12   -0.7633129417E+02    0.8698532340E-02   -0.7632259564E+02   -0.7631753697E+02
          56.60   -0.7633215858E+02    0.1212320610E-01   -0.7632003537E+02   -0.7631755833E+02
          57.09   -0.7633136539E+02    0.1396011271E-01   -0.7631740528E+02   -0.7631755703E+02
          57.57   -0.7632898642E+02    0.1281721879E-01   -0.7631616920E+02   -0.7631754537E+02
          58.05   -0.7632620196E+02    0.1233679977E-01   -0.7631386516E+02   -0.7631751470E+02
          58.54   -0.7632395167E+02    0.1559951516E-01   -0.7630835215E+02   -0.7631743898E+02
          59.02   -0.7632254602E+02    0.1520797457E-01   -0.7630733805E+02   -0.7631735618E+02
          59.50   -0.7632243696E+02    0.1111719888E-01   -0.7631131976E+02   -0.7631730711E+02
          59.99   -0.7632441029E+02    0.1303241794E-01   -0.7631137788E+02   -0.7631725929E+02
          60.47   -0.7632857874E+02    0.2215095111E-01   -0.7630642779E+02   -0.7631717264E+02
          60.96   -0.7633301240E+02    0.2552872919E-01   -0.7630748367E+02   -0.7631709574E+02
          61.44   -0.7633520881E+02    0.1708171020E-01   -0.7631812710E+02   -0.7631710386E+02
          61.92   -0.7633553993E+02    0.1215123194E-01   -0.7632338870E+02   -0.7631715296E+02
          62.41   -0.7633532085E+02    0.1235478348E-01   -0.7632296607E+02   -0.7631719803E+02
          62.89   -0.7633532336E+02    0.1504909226E-01   -0.7632027426E+02   -0.7631722169E+02
          63.37   -0.7633564396E+02    0.1095941350E-01   -0.7632468454E+02   -0.7631727866E+02
          63.86   -0.7633596600E+02    0.5863068887E-02   -0.7633010293E+02   -0.7631737581E+02
          64.34   -0.7633626798E+02    0.6392664918E-02   -0.7632987531E+02   -0.7631746979E+02
          64.83   -0.7633656221E+02    0.1040933622E-01   -0.7632615287E+02   -0.7631753459E+02
          65.31   -0.7633662636E+02    0.1497714943E-01   -0.7632164921E+02   -0.7631756507E+02
          65.79   -0.7633602687E+02    0.1627351659E-01   -0.7631975335E+02   -0.7631758116E+02
          66.28   -0.7633410418E+02    0.1777235273E-01   -0.7631633183E+02   -0.7631757204E+02
          66.76   -0.7633010161E+02    0.1940967453E-01   -0.7631069193E+02   -0.7631752218E+02
          67.24   -0.7632490272E+02    0.1442063517E-01   -0.7631048209E+02   -0.7631747154E+02
          67.73   -0.7632053709E+02    0.1018253502E-01   -0.7631035455E+02   -0.7631742070E+02
          68.21   -0.7631774560E+02    0.8096993407E-02   -0.7630964861E+02   -0.7631736558E+02
          68.70   -0.7631656946E+02    0.6846149627E-02   -0.7630972331E+02   -0.7631731176E+02
          69.18   -0.7631705462E+02    0.7938424590E-02   -0.7630911620E+02   -0.7631725445E+02
          69.66   -0.7631933152E+02    0.1234665651E-01   -0.7630698487E+02   -0.7631718313E+02
          70.15   -0.7632377471E+02    0.2500015502E-01   -0.7629877456E+02   -0.7631705618E+02
          70.63   -0.7633005877E+02    0.4907012729E-01   -0.7628098864E+02   -0.7631680914E+02
          71.12   -0.7633361921E+02    0.3733324476E-01   -0.7629628597E+02   -0.7631666953E+02
          71.60   -0.7633413975E+02    0.2901538026E-01   -0.7630512437E+02   -0.7631659152E+02
          72.08   -0.7633383147E+02    0.2126550376E-01   -0.7631256596E+02   -0.7631656450E+02
          72.57   -0.7633360962E+02    0.1369333599E-01   -0.7631991629E+02   -0.7631658685E+02
          73.05   -0.7633386751E+02    0.8495770722E-02   -0.7632537174E+02   -0.7631664502E+02
          73.53   -0.7633454683E+02    0.6483679090E-02   -0.7632806316E+02   -0.7631672014E+02
          74.02   -0.7633543489E+02    0.6623842223E-02   -0.7632881105E+02   -0.7631679917E+02
          74.50   -0.7633636957E+02    0.9263897670E-02   -0.7632710567E+02   -0.7631686609E+02
          74.99   -0.7633707310E+02    0.1210345374E-01   -0.7632496965E+02   -0.7631691838E+02
          75.47   -0.7633723100E+02    0.1095742690E-01   -0.7632627357E+02   -0.7631697834E+02
          75.95   -0.7633689034E+02    0.1098006000E-01   -0.7632591028E+02   -0.7631703524E+02
          76.44   -0.7633618939E+02    0.1622804002E-01   -0.7631996135E+02   -0.7631705376E+02
          76.92   -0.7633510155E+02    0.2497406631E-01   -0.7631012748E+02   -0.7631701019E+02
          77.40   -0.7633350396E+02    0.2573624290E-01   -0.7630776772E+02   -0.7631695243E+02
          77.89   -0.7633192641E+02    0.2251294556E-01   -0.7630941346E+02   -0.7631690560E+02
          78.37   -0.7633188652E+02    0.3074338524E-01   -0.7630114313E+02   -0.7631680830E+02
          78.86   -0.7633176963E+02    0.2107125491E-01   -0.7631069838E+02   -0.7631677082E+02
          79.34   -0.7633147450E+02    0.1045761540E-01   -0.7632101688E+02   -0.7631679671E+02
          79.82   -0.7633188185E+02    0.7014331433E-02   -0.7632486752E+02   -0.7631684562E+02
          80.31   -0.7633293945E+02    0.7475935018E-02   -0.7632546352E+02   -0.7631689754E+02
          80.79   -0.7633433909E+02    0.1279479487E-01   -0.7632154429E+02   -0.7631692536E+02
          81.27   -0.7633509022E+02    0.1484985941E-01   -0.7632024036E+02   -0.7631694510E+02
          81.76   -0.7633442563E+02    0.1257292506E-01   -0.7632185270E+02   -0.7631697414E+02
          82.24   -0.7633208789E+02    0.1181618578E-01   -0.7632027171E+02   -0.7631699353E+02
          82.73   -0.7632715699E+02    0.1273340432E-01   -0.7631442358E+02   -0.7631697850E+02
          83.21   -0.7632033262E+02    0.1297906449E-01   -0.7630735356E+02   -0.7631692254E+02
          83.69   -0.7631660739E+02    0.1609712395E-01   -0.7630051026E+02   -0.7631682768E+02
          84.18   -0.7632002886E+02    0.2906223454E-01   -0.7629096662E+02   -0.7631667905E+02
          84.66   -0.7632637588E+02    0.3447989184E-01   -0.7629189599E+02   -0.7631653743E+02
          85.14   -0.7633000323E+02    0.2536703928E-01   -0.7630463619E+02   -0.7631646981E+02
          85.63   -0.7633320333E+02    0.2853266904E-01   -0.7630467066E+02   -0.7631640315E+02
          86.11   -0.7633525807E+02    0.2251239603E-01   -0.7631274567E+02   -0.7631638260E+02
          86.60   -0.7633510403E+02    0.1201376407E-01   -0.7632309026E+02   -0.7631642007E+02
          87.08   -0.7633420934E+02    0.9201550225E-02   -0.7632500779E+02   -0.7631646778E+02
          87.56   -0.7633348593E+02    0.9430217195E-02   -0.7632405571E+02   -0.7631650971E+02
          88.05   -0.7633333220E+02    0.8539460178E-02   -0.7632479274E+02   -0.7631655522E+02
          88.53   -0.7633395269E+02    0.7868001492E-02   -0.7632608469E+02   -0.7631660729E+02
